,Country,Region,iso_a3,wh_score,gdi,gii,efs,pdn,year,region_5,region_14,region_12,region_8,region_9,region_2,region_11,region_13,region_10,region_7,region_1,region_3,region_4,region_6
36,Ecuador,Latin America and the Caribbean,ECU,5.97599983215332,0.976,0.39299999999999996,49.248166273265454,65.27629247866,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,El Salvador,Latin America and the Caribbean,SLV,6.067999839782715,0.972,0.397,65.72865500731858,305.26660231660196,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,Estonia,Northern Europe,EST,5.517000198364258,1.018,0.14400000000000002,76.76284945211566,30.260110420980002,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,Ethiopia,Sub-Saharan Africa,ETH,4.507999897003174,0.841,0.519,51.46882994831262,100.835458,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,Finland,Northern Europe,FIN,7.4130001068115225,0.991,0.063,73.42978228163989,18.030110888091894,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,France,Western Europe,FRA,6.478000164031982,0.987,0.086,62.51504939951667,121.61905874666701,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,Gabon,Sub-Saharan Africa,GAB,4.120999813079834,0.9129999999999999,0.5429999999999999,58.26561266471639,7.558838824853492,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,Georgia,Western Asia,GEO,4.251999855041504,0.98,0.37799999999999995,72.97374649338778,65.1750586094685,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,Germany,Western Europe,DEU,6.99399995803833,0.968,0.076,73.77555082512883,234.153668555637,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Ghana,Sub-Saharan Africa,GHA,4.276000022888184,0.8959999999999999,0.555,62.9796916168295,122.392568339633,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,Greece,Southern Europe,GRC,5.0329999923706055,0.9620000000000001,0.126,53.989927986496646,83.947889837083,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,Guatemala,Latin America and the Caribbean,GTM,6.323999881744385,0.9470000000000001,0.499,60.433956471735414,151.665070921986,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,Haiti,Latin America and the Caribbean,HTI,4.027999877929688,0.88,0.614,51.338969102644704,388.082075471698,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,Honduras,Latin America and the Caribbean,HND,4.870999813079834,0.97,0.475,57.38253968478339,81.44531236035391,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,Hungary,Eastern Europe,HUN,5.144999980926514,0.986,0.261,66.79701552119998,108.726698332045,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Iceland,Northern Europe,ISL,7.500999927520753,0.9670000000000001,0.075,72.03706235284464,3.29990024937656,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,India,Southern Asia,IND,4.40399980545044,0.8170000000000001,0.551,54.56897029799315,440.655458615157,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Indonesia,South-eastern Asia,IDN,5.314000129699707,0.9329999999999999,0.467,58.128301798786275,142.629462841624,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Iran,Southern Asia,IRN,4.813000202178955,0.863,0.528,41.76086630713103,48.191394066651895,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,Ireland,Northern Europe,IRL,6.9070000648498535,0.977,0.129,76.64252820735938,68.2531136594571,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,Israel,Western Asia,ISR,7.267000198364258,0.973,0.114,70.54577149776642,387.250462107209,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,Italy,Southern Europe,ITA,5.977000236511231,0.966,0.087,61.69620079437515,206.468287210172,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,Ivory Coast,Sub-Saharan Africa,CIV,3.9159998893737793,0.7859999999999999,0.6629999999999999,58.488200264011745,73.03818553459121,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,Jamaica,Latin America and the Caribbean,JAM,5.510000228881836,0.985,0.423,67.66291252967413,266.945614035088,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,Japan,Eastern Asia,JPN,5.921000003814697,0.971,0.121,73.33442620759155,348.751920122888,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,Jordan,Western Asia,JOR,5.302999973297119,0.8540000000000001,0.493,69.32038307926712,104.3768303672,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,Kazakhstan,Central Asia,KAZ,5.9190001487731925,1.003,0.212,63.34708311061722,6.49805756195133,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,Kenya,Sub-Saharan Africa,KEN,4.355999946594238,0.9279999999999999,0.56,55.56064266144044,84.1240046385775,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,Kuwait,Western Asia,KWT,6.238999843597412,0.997,0.308,62.48329355011036,215.24079685746398,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,Kyrgyzstan,Central Asia,KGZ,5.184999942779541,0.966,0.4,61.34791610458831,31.0578727841502,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,Laos,South-eastern Asia,LAO,4.875999927520752,0.919,0.474,51.377080689876614,29.207816291161198,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,Latvia,Northern Europe,LVA,5.559999942779541,1.0290000000000001,0.19899999999999998,69.70246547447935,31.803264715342607,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,Lebanon,Western Asia,LBN,5.129000186920166,0.888,0.402,59.31221472341667,638.580449657869,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,Liberia,Sub-Saharan Africa,LBR,3.621999979019165,0.8809999999999999,0.66,52.6976273953214,46.430959302325604,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,Lithuania,Northern Europe,LTU,5.813000202178955,1.03,0.133,74.74291908904169,46.3672785315243,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,Luxembourg,Western Europe,LUX,6.870999813079834,0.968,0.077,73.15827976838844,234.404938271605,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,Macedonia,Southern Europe,MKD,5.120999813079834,0.946,0.162,67.11312014434205,82.4475812846947,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,Malawi,Sub-Saharan Africa,MWI,4.1560001373291025,0.929,0.624,54.762822425746755,177.61246287653805,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,Malaysia,South-eastern Asia,MYS,6.005000114440918,0.9740000000000001,0.28600000000000003,70.84021832033348,92.13502358849493,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0
